PlayerName,CurrentTime,Latitude,Longitude,Altitude,Azimuth,BatteryLevel,CurrentState,MissionId,MissionStatus,arrivalDateTime,action,priority,packageWeight
DRO001A,10:17:15,250,250,0.2,310,100,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,10:17:15,386.3,245.8,3.3,170,80,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,10:17:28,250,250,0.2200002,310.0015,100,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,10:17:28,386.3,245.8,3.320001,169.9996,80,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,10:17:28,250,250,0.2200002,310.0015,100,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,10:17:33,386.3,245.8,3.32,169.9993,80,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,10:17:33,250,250,0.22,310,100,TakeOff,a4192237-2ae3-4929-83de-ffe9ef659695,InProgress,2025-08-30_10-17-28,PickAndDelivery,0,1.85
DRO002B,10:17:38,386.3,245.8,3.32,170,80,TakeOff,2c5e886b-dad9-439e-a4d6-8acfda886649,InProgress,2025-08-30_10-17-33,PickAndDelivery,0,1.03
DRO001A,10:17:38,250,250,0.22,310,100,TakeOff,a4192237-2ae3-4929-83de-ffe9ef659695,InProgress,2025-08-30_10-17-28,PickAndDelivery,0,1.85
DRO002B,10:17:43,386.3,245.8,3.32,170,80,TakeOff,2c5e886b-dad9-439e-a4d6-8acfda886649,InProgress,2025-08-30_10-17-33,PickAndDelivery,0,1.03
DRO001A,10:17:44,250,250,0.22,310,100,TakeOff,a4192237-2ae3-4929-83de-ffe9ef659695,InProgress,2025-08-30_10-17-28,PickAndDelivery,0,1.85
DRO002B,10:17:49,386.3,245.8,3.32,170,80,TakeOff,2c5e886b-dad9-439e-a4d6-8acfda886649,InProgress,2025-08-30_10-17-33,PickAndDelivery,0,1.03
DRO001A,10:17:49,250,250,0.22,310,100,TakeOff,a4192237-2ae3-4929-83de-ffe9ef659695,InProgress,2025-08-30_10-17-28,PickAndDelivery,0,1.85
DRO002B,10:17:54,386.3,245.8,3.32,170,80,TakeOff,2c5e886b-dad9-439e-a4d6-8acfda886649,InProgress,2025-08-30_10-17-33,PickAndDelivery,0,1.03
DRO001A,10:17:54,250,250,0.22,310,100,TakeOff,a4192237-2ae3-4929-83de-ffe9ef659695,InProgress,2025-08-30_10-17-28,PickAndDelivery,0,1.85
