PlayerName,CurrentTime,Latitude,Longitude,Altitude,Azimuth,BatteryLevel,CurrentState,MissionId,MissionStatus,arrivalDateTime,action,priority,packageWeight
DRO001A,17:57:20,250,250,0.2,310,100,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,17:57:20,386.3,245.8,3.3,170,80,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,17:57:26,250,250,0.2200003,310.0002,100,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,17:57:26,386.3,245.8,3.319999,169.9999,80,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,17:57:26,250,250,0.2200003,310.0002,100,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,17:57:31,386.3,245.8,3.319999,169.9999,80,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,17:57:31,250,250,0.22,310,100,TakeOff,209f9752-f4ba-4685-9ab7-ae31377c9479,InProgress,2025-09-24_17-57-26,PickAndDelivery,0,1.37
DRO002B,17:57:36,386.3,245.8,3.32,170,80,TakeOff,7dca9517-d0f7-48eb-b8cc-c1dc02f41f29,InProgress,2025-09-24_17-57-31,PickAndDelivery,0,3.1
DRO001A,17:57:36,250,250,0.22,310,100,TakeOff,209f9752-f4ba-4685-9ab7-ae31377c9479,InProgress,2025-09-24_17-57-26,PickAndDelivery,0,1.37
