PlayerName,CurrentTime,Latitude,Longitude,Altitude,Azimuth,BatteryLevel,CurrentState,MissionId,MissionStatus,arrivalDateTime,action,priority,packageWeight
DRO001A,10:11:06,112.2,240.09,59.6,0,100,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,10:11:06,257.22,485.31,43.9,310,80,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,10:11:12,112.2,240.09,59.62,0.0008587249,100,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,10:11:12,257.22,485.31,43.92,310.0005,80,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,10:11:17,112.2,240.09,59.62,0.0005076549,100,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,10:11:17,257.22,485.31,43.92,310.0011,80,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,10:11:22,112.2,240.09,59.62,0.0006233189,100,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,10:11:22,257.22,485.31,43.92,310.0016,80,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,10:11:26,112.2,240.09,59.62,0.0006449806,99.99957,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,10:11:26,257.22,485.31,43.92,310.002,79.99957,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,10:11:31,112.2,240.09,76.88,94.34,99.42,TakeOff,3136809c-401a-4489-b7e4-afc5f08cbe8d,InProgress,2025-07-24_10-11-08,PickAndDelivery,2,3.47
DRO002B,10:11:31,257.22,485.31,61.13,271.05,79.43,TakeOff,d96e3fdf-d858-4e18-8b64-60ab36198ea1,InProgress,2025-07-24_10-11-08,PickAndDelivery,2,3.45
DRO001A,10:11:36,112.18,240.29,99.69,94.99,98.96,MoveToCheckPoint,3136809c-401a-4489-b7e4-afc5f08cbe8d,InProgress,2025-07-24_10-11-08,PickAndDelivery,2,3.47
DRO002B,10:11:36,257.22,485.31,98.94,270.71,78.94,TakeOff,d96e3fdf-d858-4e18-8b64-60ab36198ea1,InProgress,2025-07-24_10-11-08,PickAndDelivery,2,3.45
DRO001A,10:11:41,110.74,256.86,99.69,94.99,98.41,MoveToCheckPoint,3136809c-401a-4489-b7e4-afc5f08cbe8d,InProgress,2025-07-24_10-11-08,PickAndDelivery,2,3.47
DRO002B,10:11:41,257.32,476.88,99.64,270.71,78.42,MoveToCheckPoint,d96e3fdf-d858-4e18-8b64-60ab36198ea1,InProgress,2025-07-24_10-11-08,PickAndDelivery,2,3.45
DRO001A,10:11:46,107.07,298.67,99.69,94.99,97.86,MoveToCheckPoint,3136809c-401a-4489-b7e4-afc5f08cbe8d,InProgress,2025-07-24_10-11-08,PickAndDelivery,2,3.47
DRO002B,10:11:46,257.74,443.25,99.64,270.71,77.87,MoveToCheckPoint,d96e3fdf-d858-4e18-8b64-60ab36198ea1,InProgress,2025-07-24_10-11-08,PickAndDelivery,2,3.45
DRO001A,10:11:51,101.45,363.18,99.69,94.99,97.31,MoveToPickupPackage,3136809c-401a-4489-b7e4-afc5f08cbe8d,InProgress,2025-07-24_10-11-08,PickAndDelivery,2,3.47
DRO002B,10:11:51,258.47,384.54,99.64,270.71,77.32,MoveToCheckPoint,d96e3fdf-d858-4e18-8b64-60ab36198ea1,InProgress,2025-07-24_10-11-08,PickAndDelivery,2,3.45
DRO001A,10:11:56,100.31,376.08,99.16,124.36,96.76,Land,3136809c-401a-4489-b7e4-afc5f08cbe8d,InProgress,2025-07-24_10-11-08,PickAndDelivery,2,3.47
