PlayerName,CurrentTime,Latitude,Longitude,Altitude,Azimuth,BatteryLevel,CurrentState,MissionId,MissionStatus,arrivalDateTime,action,priority,packageWeight
DRO001A,08:24:25,274.17,357.21,79.77,296.71,93.14,MoveToCheckPoint,87adbc5c-0c21-45a9-b957-cca6150c26a2,InProgress,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:24:30,253.7,157.7,84.83,132.99,73.22,TakeOff,f366b621-e37f-4f59-8b11-b11e1e04fc11,InProgress,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:24:30,301.78,302.49,79.77,296.71,92.47,MoveToDelivery,87adbc5c-0c21-45a9-b957-cca6150c26a2,InProgress,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:24:35,250.64,160.98,89.73,133.01,72.61,MoveToCheckPoint,f366b621-e37f-4f59-8b11-b11e1e04fc11,InProgress,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:24:35,339.56,227.24,79.77,296.72,91.79,MoveToDelivery,87adbc5c-0c21-45a9-b957-cca6150c26a2,InProgress,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:24:40,231.21,181.8,89.73,133.01,71.92,MoveToCheckPoint,f366b621-e37f-4f59-8b11-b11e1e04fc11,InProgress,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:24:40,350.39,205.61,79.77,296.71,91.09,MoveToDelivery,87adbc5c-0c21-45a9-b957-cca6150c26a2,InProgress,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:24:45,194.43,221.21,89.73,133.01,71.22,MoveToDelivery,f366b621-e37f-4f59-8b11-b11e1e04fc11,InProgress,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:24:45,350.1,206.2,58.29,180.88,90.52,Land,87adbc5c-0c21-45a9-b957-cca6150c26a2,InProgress,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:24:50,158.4,259.88,89.73,133.01,70.5,MoveToDelivery,f366b621-e37f-4f59-8b11-b11e1e04fc11,InProgress,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:24:51,350.1,206.2,28.63,180.01,89.83,Land,87adbc5c-0c21-45a9-b957-cca6150c26a2,InProgress,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:24:55,159.12,259.08,82.23,258.39,69.88,Land,f366b621-e37f-4f59-8b11-b11e1e04fc11,InProgress,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:24:56,350.1,206.2,11.5,180,89.13,Land,87adbc5c-0c21-45a9-b957-cca6150c26a2,InProgress,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:25:01,159.1,259.1,46.59,270.01,69.2,Land,f366b621-e37f-4f59-8b11-b11e1e04fc11,InProgress,2025-03-11_08-23-25,PickAndDelivery,1,4.17
