PlayerName,CurrentTime,Latitude,Longitude,Altitude,Azimuth,BatteryLevel,CurrentState,MissionId,MissionStatus,arrivalDateTime,action,priority,packageWeight
DRO001A,10:33:05,112.2,240.09,59.6,0,100,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,10:33:05,257.22,485.31,43.9,310,80,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,10:33:11,112.2,240.09,59.62,0.0008587249,100,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,10:33:11,257.22,485.31,43.92,310.0005,80,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,10:33:16,112.2,240.09,59.62,0.0005076549,100,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,10:33:16,257.22,485.31,43.92,310.0011,80,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,10:33:21,112.2,240.09,59.62,0.0006233189,100,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,10:33:21,257.22,485.31,43.92,310.0016,80,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,10:33:24,112.2,240.09,59.62,0.0007890274,99.99973,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,10:33:24,257.22,485.31,43.92,310.002,79.99973,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,10:33:29,112.2,240.09,76.99,94.34,99.42,TakeOff,4d7a429b-6e9b-4298-95b3-390f4a591171,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,3.56
DRO002B,10:33:29,257.22,485.31,61.26,271.02,79.42,TakeOff,f4d67ffb-b0fe-44c7-9ec3-db49153a8540,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,4.23
DRO001A,10:33:34,112.18,240.29,99.81,94.99,98.96,MoveToCheckPoint,4d7a429b-6e9b-4298-95b3-390f4a591171,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,3.56
DRO002B,10:33:34,257.22,485.31,99.03,270.71,78.93,TakeOff,f4d67ffb-b0fe-44c7-9ec3-db49153a8540,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,4.23
DRO001A,10:33:39,110.73,256.86,99.81,94.99,98.41,MoveToCheckPoint,4d7a429b-6e9b-4298-95b3-390f4a591171,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,3.56
DRO002B,10:33:39,257.33,476.88,99.79,270.71,78.41,MoveToCheckPoint,f4d67ffb-b0fe-44c7-9ec3-db49153a8540,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,4.23
DRO001A,10:33:44,107.06,298.67,99.81,94.99,97.86,MoveToCheckPoint,4d7a429b-6e9b-4298-95b3-390f4a591171,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,3.56
DRO002B,10:33:44,257.74,443.25,99.79,270.71,77.87,MoveToCheckPoint,f4d67ffb-b0fe-44c7-9ec3-db49153a8540,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,4.23
DRO001A,10:33:49,101.46,363.18,99.81,94.99,97.31,MoveToPickupPackage,4d7a429b-6e9b-4298-95b3-390f4a591171,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,3.56
DRO002B,10:33:49,258.47,384.54,99.79,270.71,77.32,MoveToCheckPoint,f4d67ffb-b0fe-44c7-9ec3-db49153a8540,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,4.23
DRO001A,10:33:54,100.32,376.08,99.06,132.3,96.76,Land,4d7a429b-6e9b-4298-95b3-390f4a591171,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,3.56
DRO002B,10:33:54,259.52,300.97,99.79,270.71,76.77,MoveToCheckPoint,f4d67ffb-b0fe-44c7-9ec3-db49153a8540,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,4.23
DRO001A,10:33:59,100.33,376,67.82,179.8,96.28,Land,4d7a429b-6e9b-4298-95b3-390f4a591171,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,3.56
DRO002B,10:33:59,260.7,204.74,99.79,270.71,76.22,MoveToPickupPackage,f4d67ffb-b0fe-44c7-9ec3-db49153a8540,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,4.23
DRO001A,10:34:04,100.33,376,34.05,180,95.71,Land,4d7a429b-6e9b-4298-95b3-390f4a591171,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,3.56
DRO002B,10:34:04,261.88,109.11,99.79,270.71,75.68,MoveToPickupPackage,f4d67ffb-b0fe-44c7-9ec3-db49153a8540,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,4.23
DRO001A,10:34:09,100.33,376,12.88,180,95.14,Land,4d7a429b-6e9b-4298-95b3-390f4a591171,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,3.56
DRO002B,10:34:09,262.51,57.7,99.79,270.71,75.1,MoveToPickupPackage,f4d67ffb-b0fe-44c7-9ec3-db49153a8540,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,4.23
DRO001A,10:34:14,100.33,376,4.31,180,94.57,Land,4d7a429b-6e9b-4298-95b3-390f4a591171,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,3.56
DRO002B,10:34:14,262.51,58.47,90.66,313.65,74.62,Land,f4d67ffb-b0fe-44c7-9ec3-db49153a8540,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,4.23
DRO001A,10:34:19,100.33,376,3.32,180,94.13,PickUpPackage,4d7a429b-6e9b-4298-95b3-390f4a591171,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,3.56
DRO002B,10:34:19,262.51,58.46,52.04,314.99,74.08,Land,f4d67ffb-b0fe-44c7-9ec3-db49153a8540,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,4.23
DRO001A,10:34:24,100.33,376,4.09,198.88,93.98,TakeOff,4d7a429b-6e9b-4298-95b3-390f4a591171,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,3.56
DRO002B,10:34:24,262.51,58.46,23.89,315,73.51,Land,f4d67ffb-b0fe-44c7-9ec3-db49153a8540,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,4.23
DRO001A,10:34:29,100.33,376,31.96,355.56,93.19,TakeOff,4d7a429b-6e9b-4298-95b3-390f4a591171,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,3.56
DRO002B,10:34:29,262.51,58.46,8.34,315,72.93,Land,f4d67ffb-b0fe-44c7-9ec3-db49153a8540,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,4.23
DRO001A,10:34:34,100.33,376,79.68,355.86,92.5,TakeOff,4d7a429b-6e9b-4298-95b3-390f4a591171,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,3.56
DRO002B,10:34:34,262.51,58.46,4.96,315,72.37,PickUpPackage,f4d67ffb-b0fe-44c7-9ec3-db49153a8540,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,4.23
DRO001A,10:34:39,100.88,375.96,99.77,355.86,91.95,MoveToCheckPoint,4d7a429b-6e9b-4298-95b3-390f4a591171,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,3.56
DRO002B,10:34:39,262.51,58.46,4.52,315,72.18,PickUpPackage,f4d67ffb-b0fe-44c7-9ec3-db49153a8540,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,4.23
DRO001A,10:34:44,119.8,374.58,99.77,355.86,91.26,MoveToCheckPoint,4d7a429b-6e9b-4298-95b3-390f4a591171,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,3.56
DRO002B,10:34:44,262.51,58.46,12.91,34.58,71.68,TakeOff,f4d67ffb-b0fe-44c7-9ec3-db49153a8540,InProgress,2025-03-11_10-33-06,PickAndDelivery,1,4.23
